community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0463,137,109,41,28,0.4,dpi,0.4654,0.0073,0.1606,Project Components,0.1956,0.2536,0.6967,REF068,0.5318,shortlist,,20260918T0131-7dd1a33,discover-1
c0696,137,90,48,47,0.6714,dpi,0.7219,0.0292,0.9927,Implementation Arrangements and Support Plan,0.2418,0.2202,0.7355,REF045,0.4628,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0471,134,122,52,51,0.7286,dpi,0.6809,0.1791,0.2836,Project Components,0.2452,0.3288,0.6884,REF011,0.539,shortlist,,20260918T0131-7dd1a33,discover-1
c0303,133,129,62,53,0.7571,access_connectivity,0.8285,0.0,0.2932,Sectoral and Institutional Context,0.2818,0.376,0.6635,REF066,0.2961,shortlist,,20260918T0131-7dd1a33,discover-1
c0775,133,132,63,51,0.7286,dpi,0.743,0.0,0.0977,Project Components,0.3316,0.3111,0.7684,REF061,0.5178,shortlist,,20260918T0131-7dd1a33,discover-1
c0267,132,131,75,53,0.7571,dpi,0.8647,0.0,0.3939,Sectoral and Institutional Context,0.3565,0.3646,0.694,REF030,0.3577,shortlist,,20260918T0131-7dd1a33,discover-1
c0103,129,126,47,38,0.5429,access_connectivity,0.3169,0.0,0.0388,Project Components,0.2548,0.271,0.7915,REF046,0.4929,shortlist,,20260918T0131-7dd1a33,discover-1
c0105,129,123,57,53,0.7571,dpi,0.0,0.0155,0.7674,Implementation Arrangements and Support Plan,0.2888,0.2974,0.7397,REF030,0.3919,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0329,129,109,43,38,0.5429,dpi,0.6187,0.0078,0.2326,Sectoral and Institutional Context,0.2113,0.285,0.7173,REF053,0.4753,shortlist,,20260918T0131-7dd1a33,discover-1
c0379,129,115,52,41,0.5857,access_connectivity,0.6473,0.0,0.1628,Project Components,0.247,0.3133,0.6934,REF038,0.4159,shortlist,,20260918T0131-7dd1a33,discover-1
c0223,128,107,58,55,0.7857,cybersecurity,0.8962,0.0078,0.9453,Fiduciary,0.3168,0.234,0.7976,REF063,0.2543,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0525,128,126,59,49,0.7,access_connectivity,0.8322,0.2188,0.3984,Project Components,0.3097,0.3466,0.7664,REF085,0.3679,shortlist,,20260918T0131-7dd1a33,discover-1
c0524,127,122,62,44,0.6286,access_connectivity,0.823,0.0157,0.2362,Project Components,0.2871,0.343,0.6761,REF085,0.3437,shortlist,,20260918T0131-7dd1a33,discover-1
c0262,125,124,72,50,0.7143,access_connectivity,0.8017,0.0,0.704,Implementation Arrangements and Support Plan,0.3137,0.3288,0.6362,REF031,0.3099,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0377,125,120,62,45,0.6429,dpi,0.752,0.024,0.312,Sectoral and Institutional Context,0.2569,0.3405,0.6049,REF083,0.4169,shortlist,,20260918T0131-7dd1a33,discover-1
c0692,125,111,59,48,0.6857,dpi,0.0,0.016,0.96,Implementation Arrangements and Support Plan,0.2776,0.2869,0.6868,REF085,0.3512,junk,junk_section_share>=0.6,20260918T0131-7dd1a33,discover-1
c0291,123,119,58,52,0.7429,dpi,0.8827,0.0,0.4797,Implementation Arrangements and Support Plan,0.2355,0.3819,0.5928,REF030,0.4473,shortlist,,20260918T0131-7dd1a33,discover-1
c0089,122,115,61,56,0.8,access_connectivity,0.7726,0.0,0.2459,Sustainability,0.3102,0.4765,0.7424,REF045,0.4021,shortlist,,20260918T0131-7dd1a33,discover-1
