community_id,size,n_paragraphs,n_documents,n_projects,project_spread,asset_top,asset_spread,commitment_share,junk_section_share,top_section,template_score,hazard_proximity,mean_cos_to_centroid,nearest_reference_id,nearest_reference_cos,verdict,verdict_reason,run_id,discovery_version
c0184,148,131,50,48,0.6857,dpi,0.758,0.0068,0.1216,Project Components,0.2216,0.3622,0.647,REF067,0.4266,shortlist,,20260918T0135-7dd1a33,discover-1
c0076,147,144,60,56,0.8,cybersecurity,0.8608,0.0,0.4898,KEY RISKS,0.3068,0.5248,0.7465,REF030,0.514,shortlist,,20260918T0135-7dd1a33,discover-1
c0145,147,142,62,49,0.7,dpi,0.7605,0.0068,0.2993,Project Components,0.2627,0.3983,0.6186,REF030,0.4068,shortlist,,20260918T0135-7dd1a33,discover-1
c0251,147,110,56,55,0.7857,drm_ews,0.9591,0.2109,0.6871,Results Monitoring and Evaluation Arrangements,0.2703,0.343,0.7048,REF021,0.4695,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0178,143,104,14,11,0.1571,drm_ews,0.5482,0.042,0.1189,Project Components,0.0654,0.3369,0.6816,REF056,0.7449,shortlist,,20260918T0135-7dd1a33,discover-1
c0360,143,138,65,55,0.7857,dpi,0.8047,0.0,0.1329,Sectoral and Institutional Context,0.2677,0.2473,0.6013,REF075,0.3127,shortlist,,20260918T0135-7dd1a33,discover-1
c0241,141,121,64,34,0.4857,access_connectivity,0.7079,0.0,0.6099,PROJECT STATUS AND RATIONALE FOR RESTRUCTURING,0.322,0.3443,0.7346,REF045,0.3114,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
c0400,141,134,65,37,0.5286,access_connectivity,0.6064,0.0071,0.461,RESULTS FRAMEWORK AND MONITORING,0.3142,0.2818,0.7059,REF005,0.505,shortlist,,20260918T0135-7dd1a33,discover-1
c0164,139,131,64,51,0.7286,dpi,0.7671,0.1655,0.1583,Project Components,0.3331,0.3128,0.7598,REF030,0.3416,shortlist,,20260918T0135-7dd1a33,discover-1
c0369,139,83,29,28,0.4,cybersecurity,0.5943,0.0072,0.1295,Sectoral and Institutional Context,0.1341,0.3173,0.6752,REF011,0.5092,shortlist,,20260918T0135-7dd1a33,discover-1
c0071,138,124,60,51,0.7286,access_connectivity,0.5862,0.0,0.9638,KEY RISKS,0.3158,0.4108,0.7686,REF030,0.4173,junk,junk_section_share>=0.6,20260918T0135-7dd1a33,discover-1
